row,col,count
0,0,16
0,1,26
0,2,35
0,3,21
0,4,19
0,5,19
0,6,19
0,7,19
0,8,20
0,9,19
0,10,25
0,11,24
0,12,24
0,13,19
0,14,13
0,15,7
0,16,2
0,17,3
0,18,1
1,0,15
1,1,34
1,2,35
1,3,35
1,4,22
1,5,33
1,6,29
1,7,38
1,8,36
1,9,35
1,10,35
1,11,26
1,12,32
1,13,31
1,14,25
1,15,10
1,16,8
1,17,5
1,18,6
2,0,19
2,1,32
2,2,27
2,3,20
2,4,29
2,5,30
2,6,29
2,7,35
2,8,34
2,9,37
2,10,28
2,11,38
2,12,29
2,13,31
2,14,22
2,15,13
2,16,8
2,17,10
2,18,7
3,0,16
3,1,23
3,2,38
3,3,34
3,4,33
3,5,38
3,6,36
3,7,34
3,8,29
3,9,25
3,10,29
3,11,35
3,12,29
3,13,26
3,14,16
3,15,13
3,16,10
3,17,7
3,18,7
4,0,11
4,1,27
4,2,30
4,3,35
4,4,34
4,5,28
4,6,37
4,7,35
4,8,35
4,9,35
4,10,35
4,11,33
4,12,29
4,13,20
4,14,15
4,15,7
4,16,9
4,17,10
4,18,6
5,0,12
5,1,26
5,2,24
5,3,24
5,4,39
5,5,34
5,6,28
5,7,31
5,8,34
5,9,24
5,10,29
5,11,25
5,12,26
5,13,19
5,14,13
5,15,13
5,16,9
5,17,14
5,18,7
6,0,20
6,1,35
6,2,32
6,3,31
6,4,34
6,5,35
6,6,30
6,7,38
6,8,20
6,9,21
6,10,22
6,11,22
6,12,21
6,13,25
6,14,16
6,15,15
6,16,23
6,17,21
6,18,15
7,0,23
7,1,45
7,2,23
7,3,26
7,4,28
7,5,28
7,6,35
7,7,35
7,8,31
7,9,16
7,10,23
7,11,12
7,12,19
7,13,15
7,14,14
7,15,27
7,16,33
7,17,26
7,18,15
8,0,21
8,1,30
8,2,36
8,3,28
8,4,24
8,5,30
8,6,28
8,7,30
8,8,31
8,9,25
8,10,26
8,11,20
8,12,10
8,13,13
8,14,17
8,15,22
8,16,20
8,17,18
8,18,6
9,0,31
9,1,37
9,2,32
9,3,31
9,4,28
9,5,29
9,6,28
9,7,23
9,8,31
9,9,21
9,10,21
9,11,16
9,12,11
9,13,12
9,14,16
9,15,14
9,16,13
9,17,12
9,18,6
10,0,31
10,1,35
10,2,36
10,3,24
10,4,30
10,5,36
10,6,34
10,7,33
10,8,23
10,9,25
10,10,22
10,11,16
10,12,22
10,13,17
10,14,14
10,15,14
10,16,18
10,17,20
10,18,9
11,0,28
11,1,49
11,2,28
11,3,35
11,4,33
11,5,35
11,6,28
11,7,25
11,8,19
11,9,21
11,10,23
11,11,18
11,12,14
11,13,25
11,14,22
11,15,15
11,16,12
11,17,21
11,18,15
12,0,30
12,1,40
12,2,25
12,3,32
12,4,30
12,5,31
12,6,21
12,7,22
12,8,15
12,9,18
12,10,30
12,11,22
12,12,20
12,13,25
12,14,25
12,15,21
12,16,20
12,17,15
12,18,12
13,0,28
13,1,29
13,2,35
13,3,34
13,4,27
13,5,32
13,6,32
13,7,22
13,8,22
13,9,20
13,10,32
13,11,30
13,12,24
13,13,25
13,14,24
13,15,27
13,16,15
13,17,15
13,18,5
14,0,19
14,1,33
14,2,29
14,3,37
14,4,28
14,5,39
14,6,31
14,7,22
14,8,24
14,9,23
14,10,38
14,11,26
14,12,29
14,13,30
14,14,28
14,15,16
14,16,17
14,17,15
14,18,10
15,0,12
15,1,24
15,2,31
15,3,35
15,4,51
15,5,33
15,6,32
15,7,25
15,8,24
15,9,32
15,10,28
15,11,41
15,12,37
15,13,30
15,14,19
15,15,15
15,16,19
15,17,17
15,18,8
16,0,10
16,1,21
16,2,24
16,3,38
16,4,35
16,5,32
16,6,26
16,7,36
16,8,36
16,9,33
16,10,29
16,11,39
16,12,42
16,13,24
16,14,17
16,15,9
16,16,11
16,17,18
16,18,8
17,0,14
17,1,18
17,2,38
17,3,33
17,4,28
17,5,26
17,6,29
17,7,24
17,8,20
17,9,34
17,10,32
17,11,38
17,12,38
17,13,23
17,14,15
17,15,10
17,16,11
17,17,14
17,18,6
18,0,16
18,1,29
18,2,23
18,3,19
18,4,29
18,5,25
18,6,23
18,7,18
18,8,23
18,9,32
18,10,33
18,11,32
18,12,23
18,13,21
18,14,10
18,15,12
18,16,11
18,17,11
18,18,9
19,0,30
19,1,35
19,2,27
19,3,21
19,4,23
19,5,22
19,6,27
19,7,29
19,8,30
19,9,31
19,10,32
19,11,26
19,12,24
19,13,16
19,14,16
19,15,22
19,16,17
19,17,16
19,18,10
20,0,36
20,1,39
20,2,36
20,3,27
20,4,22
20,5,33
20,6,23
20,7,29
20,8,35
20,9,37
20,10,38
20,11,29
20,12,33
20,13,23
20,14,17
20,15,18
20,16,30
20,17,21
20,18,17
21,0,31
21,1,50
21,2,53
21,3,30
21,4,29
21,5,28
21,6,33
21,7,35
21,8,33
21,9,38
21,10,42
21,11,35
21,12,27
21,13,27
21,14,22
21,15,18
21,16,22
21,17,25
21,18,14
22,0,26
22,1,40
22,2,47
22,3,41
22,4,30
22,5,41
22,6,41
22,7,47
22,8,33
22,9,42
22,10,29
22,11,40
22,12,24
22,13,24
22,14,27
22,15,28
22,16,21
22,17,14
22,18,15
23,0,30
23,1,66
23,2,70
23,3,37
23,4,38
23,5,45
23,6,50
23,7,49
23,8,42
23,9,38
23,10,32
23,11,27
23,12,33
23,13,23
23,14,26
23,15,32
23,16,22
23,17,31
23,18,20
24,0,40
24,1,54
24,2,60
24,3,54
24,4,44
24,5,51
24,6,45
24,7,41
24,8,45
24,9,35
24,10,39
24,11,29
24,12,26
24,13,24
24,14,30
24,15,25
24,16,38
24,17,27
24,18,22
25,0,40
25,1,53
25,2,64
25,3,48
25,4,44
25,5,38
25,6,48
25,7,43
25,8,31
25,9,37
25,10,44
25,11,38
25,12,24
25,13,26
25,14,35
25,15,37
25,16,35
25,17,33
25,18,23
26,0,44
26,1,77
26,2,52
26,3,50
26,4,34
26,5,43
26,6,34
26,7,42
26,8,30
26,9,30
26,10,31
26,11,33
26,12,29
26,13,27
26,14,25
26,15,35
26,16,37
26,17,36
26,18,25
27,0,33
27,1,56
27,2,50
27,3,46
27,4,42
27,5,42
27,6,46
27,7,45
27,8,39
27,9,28
27,10,31
27,11,28
27,12,27
27,13,22
27,14,28
27,15,31
27,16,44
27,17,36
27,18,19
28,0,30
28,1,47
28,2,31
28,3,52
28,4,41
28,5,48
28,6,39
28,7,45
28,8,35
28,9,27
28,10,30
28,11,34
28,12,25
28,13,35
28,14,28
28,15,39
28,16,36
28,17,35
28,18,20
29,0,23
29,1,41
29,2,50
29,3,43
29,4,35
29,5,34
29,6,52
29,7,40
29,8,43
29,9,46
29,10,35
29,11,29
29,12,25
29,13,31
29,14,34
29,15,35
29,16,40
29,17,43
29,18,31
30,0,18
30,1,48
30,2,45
30,3,52
30,4,38
30,5,47
30,6,50
30,7,41
30,8,38
30,9,49
30,10,36
30,11,27
30,12,38
30,13,31
30,14,38
30,15,45
30,16,37
30,17,53
30,18,25
31,0,26
31,1,48
31,2,57
31,3,48
31,4,43
31,5,55
31,6,55
31,7,38
31,8,40
31,9,40
31,10,27
31,11,34
31,12,33
31,13,38
31,14,39
31,15,37
31,16,48
31,17,45
31,18,30
32,0,19
32,1,34
32,2,41
32,3,48
32,4,54
32,5,50
32,6,40
32,7,37
32,8,30
32,9,34
32,10,34
32,11,36
32,12,31
32,13,34
32,14,32
32,15,40
32,16,37
32,17,48
32,18,30
33,0,22
33,1,36
33,2,41
33,3,42
33,4,43
33,5,46
33,6,39
33,7,27
33,8,34
33,9,36
33,10,28
33,11,27
33,12,25
33,13,26
33,14,32
33,15,34
33,16,35
33,17,44
33,18,32
34,0,26
34,1,36
34,2,35
34,3,22
34,4,44
34,5,41
34,6,38
34,7,30
34,8,36
34,9,32
34,10,27
34,11,24
34,12,26
34,13,23
34,14,30
34,15,35
34,16,32
34,17,32
34,18,25
35,0,31
35,1,39
35,2,42
35,3,31
35,4,45
35,5,42
35,6,30
35,7,37
35,8,34
35,9,25
35,10,19
35,11,10
35,12,19
35,13,26
35,14,27
35,15,31
35,16,22
35,17,21
35,18,16
36,0,33
36,1,45
36,2,30
36,3,34
36,4,30
36,5,32
36,6,29
36,7,33
36,8,32
36,9,12
36,10,10
36,11,10
36,12,16
36,13,23
36,14,34
36,15,25
36,16,23
36,17,24
36,18,22
37,0,28
37,1,47
37,2,38
37,3,23
37,4,40
37,5,28
37,6,31
37,7,36
37,8,21
37,9,15
37,10,14
37,11,4
37,12,15
37,13,19
37,14,21
37,15,30
37,16,19
37,17,28
37,18,26
38,0,18
38,1,37
38,2,23
38,3,22
38,4,14
38,5,15
38,6,20
38,7,19
38,8,17
38,9,11
38,10,5
38,11,8
38,12,8
38,13,14
38,14,13
38,15,8
38,16,8
38,17,12
38,18,12
